width,length,rob_x,rob_y,rig_x,rig_y,id,states,transitions,value,time
11,2,0,0,10,1,0,1441,82270,0.9999950273171236,0.546
12,8,0,0,11,7,0,20724,1378470,0.9734012902372512,61.645
13,10,0,0,12,9,0,37167,2502802,0.9900089621553968,127.766
3,9,0,0,2,8,0,1617,105473,0.3813569178197836,1.355
3,14,0,0,2,13,0,3777,255395,0.2669336631561476,8.391
14,9,0,0,13,8,0,35266,2364425,0.9939556643444978,92.439
13,12,0,0,12,11,0,52715,3580625,0.9916205652589823,278.888
9,9,0,0,8,8,0,14571,972035,0.9639756255132975,45.766
3,5,0,0,2,4,0,537,32865,0.5791401105742244,0.319
9,5,0,0,8,4,0,4851,309195,0.9841158082007335,4.092
14,3,0,0,13,2,0,4690,287579,0.998856058120349,3.314
10,2,0,0,9,1,0,1190,67234,0.9987820193213388,0.478
5,7,0,0,4,6,0,2795,181903,0.7153576229630016,2.257
10,10,0,0,9,9,0,21990,1477732,0.9711745136408484,54.539
11,7,0,0,10,6,0,13541,889653,0.9795021997595533,22.568
9,3,0,0,8,2,0,1935,116511,0.9991182610293186,0.987
6,12,0,0,5,11,0,11226,755218,0.8438514206396412,22.413
3,3,0,0,2,2,0,213,11773,0.5709182435618477,0.143
2,7,0,0,1,6,0,446,27670,0.056786247058894804,0.294
